"company_name","primary_state","confidence","reason","provider","slug","source_url","tracked_in_sources_csv","source_status","bucket_last_run","role_count_active","jobs_listed","jobs_relevant","jobs_inserted","jobs_skipped_old","jobs_skipped_irrelevant","fetch_failed","registry_source_kind","recommended_next_action","source_files_used"
"Aureliussystems","source_configured_supported_ats","medium","daily_sync_ats_with_no_exception_signal_in_report_rules","ashby","aureliussystems","https://jobs.ashbyhq.com/aureliussystems","true","auto","productive","","7","7","0","0","0","false","ats_api","none","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Backflip.Ai","source_returned_zero_listings","high","listed_zero_or_is_empty_flag; underlying_ats_supported_by_daily_sync","ashby","backflip.ai","https://jobs.ashbyhq.com/backflip.ai","true","auto","empty","","0","0","0","0","0","false","ats_api","investigate_slug","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Bedrock Robotics","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","bedrock-robotics","https://jobs.ashbyhq.com/bedrock-robotics","true","auto","irrelevant_only","","22","0","0","2","20","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Blacksmith","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","Blacksmith","https://jobs.ashbyhq.com/Blacksmith","true","auto","irrelevant_only","","12","0","0","8","4","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Bliro","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","bliro","https://jobs.ashbyhq.com/bliro","true","auto","irrelevant_only","","8","0","0","2","6","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Breaker","source_configured_supported_ats","medium","daily_sync_ats_with_no_exception_signal_in_report_rules","ashby","breaker","https://jobs.ashbyhq.com/breaker","true","auto","productive","","3","3","0","0","0","false","ats_api","none","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Brinc","source_configured_supported_ats","medium","daily_sync_ats_with_no_exception_signal_in_report_rules","ashby","brinc","https://jobs.ashbyhq.com/brinc","true","auto","productive","","22","9","0","12","1","false","ats_api","none","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Built Robotics","source_returned_jobs_all_old","high","all_listed_jobs_skipped_as_old_by_sync_policy; underlying_ats_supported_by_daily_sync","ashby","built-robotics","https://jobs.ashbyhq.com/built-robotics","true","auto","old_only","","2","0","0","2","0","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Callosum","source_returned_jobs_all_irrelevant","high","all_listed_jobs_marked_irrelevant_by_filter; underlying_ats_supported_by_daily_sync","ashby","callosum","https://jobs.ashbyhq.com/callosum","true","auto","irrelevant_only","","1","0","0","0","1","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Campfire","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","campfire","https://jobs.ashbyhq.com/campfire","true","auto","irrelevant_only","","22","0","0","14","8","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Character","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","character","https://jobs.ashbyhq.com/character","true","auto","irrelevant_only","","17","0","0","12","5","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Charge Robotics","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","charge-robotics","https://jobs.ashbyhq.com/charge-robotics","true","auto","irrelevant_only","","14","0","0","7","7","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Clasp Group","source_returned_jobs_all_irrelevant","high","all_listed_jobs_marked_irrelevant_by_filter; underlying_ats_supported_by_daily_sync","ashby","clasp-group","https://jobs.ashbyhq.com/clasp-group","true","auto","irrelevant_only","","16","0","0","0","16","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Close","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","close","https://jobs.ashbyhq.com/close","true","auto","irrelevant_only","","9","0","0","1","8","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Cobot","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","cobot","https://jobs.ashbyhq.com/cobot","true","auto","irrelevant_only","","14","0","0","2","12","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Cocodelivery","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","cocodelivery","https://jobs.ashbyhq.com/cocodelivery","true","auto","irrelevant_only","","14","0","0","3","11","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Coderabbit","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","coderabbit","https://jobs.ashbyhq.com/coderabbit","true","auto","irrelevant_only","","30","0","0","9","21","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Compound Eye","source_configured_supported_ats","medium","daily_sync_ats_with_no_exception_signal_in_report_rules","ashby","compound-eye","https://jobs.ashbyhq.com/compound-eye","true","auto","productive","","3","1","0","0","2","false","ats_api","none","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Continua","source_returned_jobs_all_old","high","all_listed_jobs_skipped_as_old_by_sync_policy; underlying_ats_supported_by_daily_sync","ashby","continua","https://jobs.ashbyhq.com/continua","true","auto","old_only","","2","0","0","2","0","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Corvus Robotics","source_returned_jobs_all_old","high","all_listed_jobs_skipped_as_old_by_sync_policy; underlying_ats_supported_by_daily_sync","ashby","corvus-robotics","https://jobs.ashbyhq.com/corvus-robotics","true","auto","old_only","","6","0","0","6","0","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Cosmic Robotics","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","cosmic-robotics","https://jobs.ashbyhq.com/cosmic-robotics","true","auto","irrelevant_only","","4","0","0","3","1","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Critical Energy","source_returned_jobs_all_old","high","all_listed_jobs_skipped_as_old_by_sync_policy; underlying_ats_supported_by_daily_sync","ashby","critical-energy","https://jobs.ashbyhq.com/critical-energy","true","auto","old_only","","1","0","0","1","0","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Deel","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","deel","https://jobs.ashbyhq.com/deel","true","auto","irrelevant_only","","259","0","0","30","229","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Deeptune","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","deeptune","https://jobs.ashbyhq.com/deeptune","true","auto","irrelevant_only","","4","0","0","2","2","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Delian","source_configured_supported_ats","medium","daily_sync_ats_with_no_exception_signal_in_report_rules","ashby","delian","https://jobs.ashbyhq.com/delian","true","auto","productive","","6","2","0","0","4","false","ats_api","none","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Dexmate","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","dexmate","https://jobs.ashbyhq.com/dexmate","true","auto","irrelevant_only","","25","0","0","10","15","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Distributed Spectrum","source_configured_supported_ats","medium","daily_sync_ats_with_no_exception_signal_in_report_rules","ashby","distributed-spectrum","https://jobs.ashbyhq.com/distributed-spectrum","true","auto","productive","","4","1","0","0","3","false","ats_api","none","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Duna","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","duna","https://jobs.ashbyhq.com/duna","true","auto","irrelevant_only","","10","0","0","5","5","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Dust","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","dust","https://jobs.ashbyhq.com/dust","true","auto","irrelevant_only","","23","0","0","6","17","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Dyna Robotics","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","dyna-robotics","https://jobs.ashbyhq.com/dyna-robotics","true","auto","irrelevant_only","","15","0","0","5","10","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Echotwin","source_returned_jobs_all_old","high","all_listed_jobs_skipped_as_old_by_sync_policy; underlying_ats_supported_by_daily_sync","ashby","echotwin","https://jobs.ashbyhq.com/echotwin","true","auto","old_only","","11","0","0","11","0","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Eigen Labs","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","eigen-labs","https://jobs.ashbyhq.com/eigen-labs","true","auto","irrelevant_only","","5","0","0","1","4","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Elevenlabs","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","elevenlabs","https://jobs.ashbyhq.com/elevenlabs","true","auto","irrelevant_only","","106","0","0","27","79","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Embedding Vc","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","embedding-vc","https://jobs.ashbyhq.com/embedding-vc","true","auto","irrelevant_only","","36","0","0","11","25","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Enpal","source_returned_jobs_all_irrelevant","high","all_listed_jobs_marked_irrelevant_by_filter; underlying_ats_supported_by_daily_sync","ashby","enpal","https://jobs.ashbyhq.com/enpal","true","auto","irrelevant_only","","221","0","0","0","221","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Ether.Fi","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","ether.fi","https://jobs.ashbyhq.com/ether.fi","true","auto","irrelevant_only","","16","0","0","11","5","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Exa","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","exa","https://jobs.ashbyhq.com/exa","true","auto","irrelevant_only","","36","0","0","22","14","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Fauna Robotics","source_returned_zero_listings","high","listed_zero_or_is_empty_flag; underlying_ats_supported_by_daily_sync","ashby","fauna-robotics","https://jobs.ashbyhq.com/fauna-robotics","true","auto","empty","","0","0","0","0","0","false","ats_api","investigate_slug","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Featherlessai","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","featherlessai","https://jobs.ashbyhq.com/featherlessai","true","auto","irrelevant_only","","19","0","0","4","15","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Fiducial","source_configured_supported_ats","medium","daily_sync_ats_with_no_exception_signal_in_report_rules","ashby","Fiducial","https://jobs.ashbyhq.com/Fiducial","true","auto","productive","","11","8","1","3","0","false","ats_api","none","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Finary","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","finary","https://jobs.ashbyhq.com/finary","true","auto","irrelevant_only","","15","0","0","5","10","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Finmid.Com","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","finmid.com","https://jobs.ashbyhq.com/finmid.com","true","auto","irrelevant_only","","3","0","0","1","2","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Flagright.Com","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","flagright.com","https://jobs.ashbyhq.com/flagright.com","true","auto","irrelevant_only","","56","0","0","2","54","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Flink","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","flink","https://jobs.ashbyhq.com/flink","true","auto","irrelevant_only","","2","0","0","1","1","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Flock Safety","source_configured_supported_ats","medium","daily_sync_ats_with_no_exception_signal_in_report_rules","ashby","Flock Safety","https://jobs.ashbyhq.com/Flock%20Safety","true","auto","productive","","70","17","0","9","44","false","ats_api","none","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Flock%20Safety","source_configured_supported_ats","medium","daily_sync_ats_with_no_exception_signal_in_report_rules","ashby","Flock%20Safety","https://jobs.ashbyhq.com/Flock%2520Safety","true","auto","productive","","70","17","0","9","44","false","ats_api","none","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Foundational Industries","source_returned_jobs_all_irrelevant","high","all_listed_jobs_marked_irrelevant_by_filter; underlying_ats_supported_by_daily_sync","ashby","Foundational Industries","https://jobs.ashbyhq.com/Foundational%20Industries","true","auto","irrelevant_only","","7","0","0","0","7","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Foundry Robotics","source_returned_jobs_all_irrelevant","high","all_listed_jobs_marked_irrelevant_by_filter; underlying_ats_supported_by_daily_sync","ashby","foundry-robotics","https://jobs.ashbyhq.com/foundry-robotics","true","auto","irrelevant_only","","5","0","0","0","5","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Fyxer","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","fyxer","https://jobs.ashbyhq.com/fyxer","true","auto","irrelevant_only","","14","0","0","1","13","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Gecko Robotics","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","gecko-robotics","https://jobs.ashbyhq.com/gecko-robotics","true","auto","irrelevant_only","","26","0","0","6","20","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Generalist","source_returned_jobs_all_irrelevant","high","all_listed_jobs_marked_irrelevant_by_filter; underlying_ats_supported_by_daily_sync","ashby","generalist","https://jobs.ashbyhq.com/generalist","true","auto","irrelevant_only","","17","0","0","0","17","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Generalrobotics","source_configured_supported_ats","medium","daily_sync_ats_with_no_exception_signal_in_report_rules","ashby","generalrobotics","https://jobs.ashbyhq.com/generalrobotics","true","auto","productive","","6","1","0","0","5","false","ats_api","none","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Govdash","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","govdash","https://jobs.ashbyhq.com/govdash","true","auto","irrelevant_only","","11","0","0","2","9","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"GoVenti","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","GoVenti","https://jobs.ashbyhq.com/GoVenti","true","auto","irrelevant_only","","31","0","0","19","12","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"GravityClimate","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","GravityClimate","https://jobs.ashbyhq.com/GravityClimate","true","auto","irrelevant_only","","8","0","0","5","3","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Graymatter Robotics","source_configured_supported_ats","medium","daily_sync_ats_with_no_exception_signal_in_report_rules","ashby","graymatter-robotics","https://jobs.ashbyhq.com/graymatter-robotics","true","auto","productive","","10","1","0","2","7","false","ats_api","none","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Gritt","source_returned_jobs_all_old","high","all_listed_jobs_skipped_as_old_by_sync_policy; underlying_ats_supported_by_daily_sync","ashby","gritt","https://jobs.ashbyhq.com/gritt","true","auto","old_only","","5","0","0","5","0","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Hadrian Automation","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","hadrian-automation","https://jobs.ashbyhq.com/hadrian-automation","true","auto","irrelevant_only","","149","0","0","46","103","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Happyrobot.Ai","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","happyrobot.ai","https://jobs.ashbyhq.com/happyrobot.ai","true","auto","irrelevant_only","","70","0","0","28","42","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Harmattan Ai","source_configured_supported_ats","medium","daily_sync_ats_with_no_exception_signal_in_report_rules","ashby","harmattan-ai","https://jobs.ashbyhq.com/harmattan-ai","true","auto","productive","","97","45","0","8","44","false","ats_api","none","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Havocai","source_configured_supported_ats","medium","daily_sync_ats_with_no_exception_signal_in_report_rules","ashby","havocai","https://jobs.ashbyhq.com/havocai","true","auto","productive","","26","10","0","1","15","false","ats_api","none","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Hcompany","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","hcompany","https://jobs.ashbyhq.com/hcompany","true","auto","irrelevant_only","","14","0","0","5","9","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Heyjobs","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","heyjobs","https://jobs.ashbyhq.com/heyjobs","true","auto","irrelevant_only","","20","0","0","3","17","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Impulse","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","impulse","https://jobs.ashbyhq.com/impulse","true","auto","irrelevant_only","","2","0","0","1","1","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Kiefer","source_returned_jobs_all_irrelevant","high","all_listed_jobs_marked_irrelevant_by_filter; underlying_ats_supported_by_daily_sync","ashby","kiefer","https://jobs.ashbyhq.com/kiefer","true","auto","irrelevant_only","","9","0","0","0","9","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Knowlix","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","knowlix","https://jobs.ashbyhq.com/knowlix","true","auto","irrelevant_only","","9","0","0","8","1","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Kodifly","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","kodifly","https://jobs.ashbyhq.com/kodifly","true","auto","irrelevant_only","","12","0","0","3","9","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Kraken.Com","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","kraken.com","https://jobs.ashbyhq.com/kraken.com","true","auto","irrelevant_only","","146","0","0","24","122","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Langdock","source_returned_jobs_all_irrelevant","high","all_listed_jobs_marked_irrelevant_by_filter; underlying_ats_supported_by_daily_sync","ashby","langdock","https://jobs.ashbyhq.com/langdock","true","auto","irrelevant_only","","5","0","0","0","5","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Langfuse","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","langfuse","https://jobs.ashbyhq.com/langfuse","true","auto","irrelevant_only","","9","0","0","2","7","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Lat","source_configured_supported_ats","medium","daily_sync_ats_with_no_exception_signal_in_report_rules","ashby","lat","https://jobs.ashbyhq.com/lat","true","auto","productive","","8","2","0","6","0","false","ats_api","none","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Letta","source_returned_jobs_all_old","high","all_listed_jobs_skipped_as_old_by_sync_policy; underlying_ats_supported_by_daily_sync","ashby","letta","https://jobs.ashbyhq.com/letta","true","auto","old_only","","5","0","0","5","0","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Lightdash","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","lightdash","https://jobs.ashbyhq.com/lightdash","true","auto","irrelevant_only","","6","0","0","1","5","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Linqapp","source_returned_jobs_all_irrelevant","high","all_listed_jobs_marked_irrelevant_by_filter; underlying_ats_supported_by_daily_sync","ashby","linqapp","https://jobs.ashbyhq.com/linqapp","true","auto","irrelevant_only","","11","0","0","0","11","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Liquid Ai","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","liquid-ai","https://jobs.ashbyhq.com/liquid-ai","true","auto","irrelevant_only","","17","0","0","8","9","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Mach","source_configured_supported_ats","medium","daily_sync_ats_with_no_exception_signal_in_report_rules","ashby","mach","https://jobs.ashbyhq.com/mach","true","auto","productive","","67","15","0","27","25","false","ats_api","none","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Maihem","source_returned_jobs_all_irrelevant","high","all_listed_jobs_marked_irrelevant_by_filter; underlying_ats_supported_by_daily_sync","ashby","maihem","https://jobs.ashbyhq.com/maihem","true","auto","irrelevant_only","","1","0","0","0","1","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Marcohire","source_configured_supported_ats","medium","daily_sync_ats_with_no_exception_signal_in_report_rules","ashby","marcohire","https://jobs.ashbyhq.com/marcohire","true","auto","productive","","8","4","0","1","3","false","ats_api","none","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Matter Intelligence","source_configured_supported_ats","medium","daily_sync_ats_with_no_exception_signal_in_report_rules","ashby","matter-intelligence","https://jobs.ashbyhq.com/matter-intelligence","true","auto","productive","","14","3","0","0","11","false","ats_api","none","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Mecka.Ai","source_returned_jobs_all_irrelevant","high","all_listed_jobs_marked_irrelevant_by_filter; underlying_ats_supported_by_daily_sync","ashby","mecka.ai","https://jobs.ashbyhq.com/mecka.ai","true","auto","irrelevant_only","","15","0","0","0","15","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Mindrobotics","source_returned_jobs_all_irrelevant","high","all_listed_jobs_marked_irrelevant_by_filter; underlying_ats_supported_by_daily_sync","ashby","mindrobotics","https://jobs.ashbyhq.com/mindrobotics","true","auto","irrelevant_only","","7","0","0","0","7","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Mirai Robotics","source_configured_supported_ats","medium","daily_sync_ats_with_no_exception_signal_in_report_rules","ashby","mirai-robotics","https://jobs.ashbyhq.com/mirai-robotics","true","auto","productive","","4","3","0","1","0","false","ats_api","none","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Mirelo","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","mirelo","https://jobs.ashbyhq.com/mirelo","true","auto","irrelevant_only","","8","0","0","7","1","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Molg","source_returned_jobs_all_irrelevant","high","all_listed_jobs_marked_irrelevant_by_filter; underlying_ats_supported_by_daily_sync","ashby","Molg","https://jobs.ashbyhq.com/Molg","true","auto","irrelevant_only","","11","0","0","0","11","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
